id,own,competing1,competing2,borrowertype,accepted,default,profit
100059,.126,.35090813,.94565088,0,1,0,1260
100060,,.24795853,.3005673,0,0,0,
100061,,.096570633,.1927886,0,0,0,
100062,,.30000001,.1655914,0,0,0,
100063,,1,,0,0,1,
100064,.115,.12775581,.1298518,1,0,0,
100065,,.40000001,.33552191,0,0,0,
100066,,0,,2,0,0,
100067,,.12449222,,0,0,0,
100068,,.405,,0,0,0,
100069,,.03549308,.15668628,1,0,0,
100070,,.37,,0,0,1,
100071,.114,.023021571,.31029248,0,0,0,
100072,.109,.07,.062737852,0,0,0,
100073,.09,.075000003,.010767313,0,0,0,
100074,.081,.18302053,,3,1,0,810
100075,.119,.14438024,.11323224,0,0,0,
100076,.061,.20897421,,0,1,0,610
100077,.121,.233,.17,0,1,0,1210
100078,,.22351426,.21286978,3,0,0,
100079,,.39468628,.35154721,0,0,0,
100080,,.23,,0,0,0,
100081,.087,0,.31026486,0,0,0,
100082,,.40000001,.31669319,3,0,0,
100083,.082,.13333778,.50359094,0,1,1,-10000
100084,,,.53146183,0,0,1,
100085,,.21351427,,0,0,1,
100086,,.123,.1910124,2,0,1,
100087,,.28214818,.3129482,0,0,0,
100088,,,.31032085,2,0,1,
100089,,.17567925,.17012303,0,0,0,
100090,,.1490819,.53231049,0,0,0,
100091,,,,0,0,1,
100092,,.40000001,.27725446,2,0,0,
100093,.098,.037110746,.062737852,0,0,0,
100094,,.37,.59207183,1,0,0,
100095,,.12361906,,1,0,0,
100096,,,.21304969,0,0,0,
100097,.099,.2,.1171797,1,1,0,990
100098,.084,.22351426,,3,1,0,840
100099,,,.37067214,0,0,0,
100100,,.075000003,.062737852,0,0,0,
100101,,.1,,3,0,0,
100102,,,,3,0,0,
100103,.121,.19302052,.26143965,3,1,0,1210
100104,,.003827326,.082178116,3,0,0,
100105,.126,.40000001,,0,1,0,1260
100106,,.15082863,.078221858,0,0,0,
100107,,.3925522,,0,0,1,
100108,,,,0,0,0,
100109,.107,.40000001,.20999999,3,1,0,1070
100110,,.34,.084716499,0,0,0,
100111,,.010228277,.040758453,0,0,0,
100112,,.15908191,.062203381,2,0,0,
100113,,.29899359,.21870887,0,0,0,
100114,.069,.019012801,,0,0,0,
100115,.092,0,.02,1,0,0,
100116,.112,.13333778,.20094678,3,1,0,1120
100117,,.81996083,,0,0,1,
100118,,.28214818,.2413069,0,0,0,
100119,,.38091454,.59934026,0,0,0,
100120,,.40000001,.13900073,3,0,1,
100121,.115,.053995982,,0,0,0,
100122,,.2,,2,0,0,
100123,,.31309456,.22738792,3,0,0,
100124,.112,.037654087,.1171797,0,0,0,
100125,,.18322797,.28288457,0,0,0,
100126,,.40000001,.22805248,2,0,1,
100127,,,.10097761,0,0,0,
100128,,.44100001,,1,0,1,
100129,.093,.27214816,.17,0,1,0,930
100130,.114,.17,.11,0,0,0,
100131,,,.44141328,0,0,1,
100132,.108,.2521337,.58659726,0,1,0,1080
100133,,.14661713,.053534042,0,0,0,
100134,,.35654172,.39481243,1,0,0,
100135,.118,.25999999,.13213021,0,1,0,1180
100136,.1,.22403423,,0,1,0,1000
100137,.103,.22403423,.02,0,0,0,
100138,,.40850142,.27357793,0,0,0,
100139,,.050000001,.040599573,0,0,0,
100140,,.18302053,.063360862,2,0,0,
100141,,.28928134,,2,0,0,
100142,,,,0,0,1,
100143,,.028078699,.18000001,0,0,0,
100144,,.184431,,0,0,0,
100145,,.33000001,.11123633,2,0,0,
100146,,.23999999,.18628685,0,0,0,
100147,,.1435058,.4144235,0,0,0,
100148,,.63019538,.57840931,0,0,0,
100149,,.20999999,.15610863,1,0,0,
100150,,.51467091,.3219243,0,0,0,
100151,,.22351426,,0,0,0,
100152,,,,2,0,0,
100153,.125,.075000003,.048379149,0,0,0,
100154,,.28610685,.23814039,0,0,0,
100155,.12,.16521347,,1,1,0,1200
100156,,.38091454,.18972327,0,0,0,
100157,.122,.046139337,.31032455,0,0,0,
100158,.083,.035773437,.11929096,0,0,0,
100159,,.31,.21391518,3,0,0,
100160,,.33627102,.33892247,3,0,0,
100161,.127,.86288834,.29730418,0,1,0,1270
100162,.113,.22,,0,1,1,-10000
100163,,.35699999,,0,0,0,
100164,,.22351426,.1260923,2,0,1,
100165,.09,.02,.29568639,0,0,0,
100166,,.15908191,.33257261,0,0,0,
100167,,.377,,0,0,0,
100168,,.037212599,,0,0,0,
100169,.125,.33811116,,0,1,0,1250
100170,,.23,.6330834,0,0,0,
100171,.111,.048280947,,1,0,1,
100172,,0,.57530195,1,0,0,
100173,.104,.58815211,.13718861,0,1,0,1040
100174,,.40000001,.50431126,0,0,0,
100175,,.15908191,.057548776,0,0,0,
100176,,,.3169902,1,0,0,
100177,,0,,0,0,0,
100178,,.40255219,.62142855,0,0,0,
100179,,,.4127903,0,0,0,
100180,,.066974945,,0,0,0,
100181,,.27214816,,2,0,0,
100182,,.4925383,,2,0,1,
100183,.112,.17358172,.1260923,0,1,0,1120
100184,,.050000001,.091087893,0,0,0,
100185,,.091367684,.35334325,0,0,0,
100186,.121,.169,,0,1,0,1210
100187,,.27214816,.059999999,0,0,0,
100188,.099,.30000001,.91359562,2,1,0,990
100189,,.2,.20999999,3,0,0,
100190,.121,.15908191,.17210677,0,1,0,1210
100191,.076,.075000003,.36859292,0,0,0,
100192,,.43900001,.22845151,0,0,1,
100193,.123,.18302053,.11,0,0,0,
100194,,.373,.46923426,2,0,0,
100195,,.25337172,,0,0,0,
100196,.117,.28214818,.21810551,3,1,1,-10000
100197,,.22351426,.095270127,0,0,0,
100198,,.38779676,.87462497,0,0,0,
100199,,,.096568651,0,0,0,
100200,,.65664238,,0,0,0,
100201,,.59453678,,0,0,0,
100202,.123,.40000001,.30251619,0,1,0,1230
100203,,1,,0,0,0,
100204,,.085533224,.059999999,2,0,0,
100205,,.28214818,,0,0,1,
100206,,.12333779,.02,2,0,0,
100207,.054,.12776415,.14,0,1,0,540
100208,,.10077298,,3,0,1,
100209,.071,.34,.16229525,0,1,1,-10000
100210,,.40000001,.1260923,3,0,0,
100211,.095,.11727027,,0,1,0,950
100212,,1,.12573606,0,0,0,
100213,,1,,0,0,1,
100214,.11,.204,,0,1,0,1100
100215,,.40000001,.27105203,0,0,0,
100216,,.30000001,,0,0,0,
100217,,.14749967,.15118681,0,0,0,
100218,,.068317235,,0,0,1,
100219,,.21351427,.24930583,0,0,0,
100220,,.23,.083116554,0,0,1,
100221,,.37091455,,0,0,0,
100222,,.071101278,.19587703,0,0,0,
100223,.102,.073307686,.22074638,0,0,0,
100224,,.27062052,.1042049,0,0,1,
100225,.07,.0079699606,.48651007,0,0,0,
100226,,.27214816,.71648502,0,0,1,
100227,.119,.27214816,.34856945,3,1,0,1190
100228,,,.30024382,0,0,1,
100229,.097,.081811786,,1,0,0,
100230,.123,.049785022,,0,0,0,
100231,.094,.049565926,.059999999,1,0,0,
100232,,.74529332,.20465231,0,0,1,
100233,,.2,,0,0,0,
100234,,.052740082,.0589866,0,0,0,
100235,,.40000001,.12660724,0,0,0,
100236,,.059112865,,2,0,0,
100237,,.23403424,,3,0,0,
100238,,.74890649,.80675673,0,0,0,
100239,,.36016652,.26280493,0,0,0,
100240,,.40000001,.24789268,0,0,0,
100241,.125,.30000001,.13438064,2,0,0,
100242,.123,.32531539,,2,1,0,1230
100243,,.20999999,.27143848,0,0,0,
100244,.124,.29854316,.44197091,1,1,0,1240
100245,.12,.301,.18775511,0,1,0,1200
100246,,.12960577,.90122211,0,0,1,
100247,,.22403423,.23638883,3,0,1,
100248,,.17,.3129482,3,0,1,
100249,.121,.36000001,.22,2,1,0,1210
100250,.078,.075000003,.041088361,2,0,0,
100251,,.58704424,.4223077,0,0,0,
100252,.104,.057124782,,0,0,0,
100253,,,,0,0,0,
100254,,.08596646,.46877813,2,0,0,
100255,,.38999999,.46601403,0,0,0,
100256,,.31999999,.30536911,0,0,1,
100257,.124,.252,,2,1,0,1240
100258,,.38625351,,0,0,0,
100259,.111,.088630937,.033628389,0,0,0,
100260,,.45957208,.082812026,0,0,0,
100261,,.34453532,,0,0,0,
100262,,.024606183,,2,0,0,
100263,,.38091454,,2,0,0,
100264,,.37091455,.18000001,0,0,0,
100265,,.27214816,.20999999,0,0,1,
100266,,.3925522,.92731088,2,0,0,
100267,,.44197446,.33257261,2,0,0,
100268,,.2,.1260923,0,0,0,
100269,,.28214818,.2,0,0,0,
100270,,.3047767,,3,0,0,
100271,,.40000001,,3,0,0,
100272,,.3528536,.25440308,0,0,0,
100273,.094,.27214816,.22038431,2,1,1,-10000
100274,,.15908191,,1,0,0,
100275,.126,.21587862,.2876665,0,1,0,1260
100276,.103,.34,,2,1,0,1030
100277,,.41425851,,0,0,0,
100278,,.36000001,.23283598,0,0,0,
100279,,,,0,0,1,
100280,,.33000001,.37360469,0,0,0,
100281,,.19302052,.39721081,2,0,0,
100282,,.15610597,.22,0,0,1,
100283,.069,.00092148921,.041945864,0,0,0,
100284,,,,3,0,1,
100285,.116,.087620564,.1045526,0,0,0,
100286,,.13865846,.22152914,3,0,0,
100287,,.79374456,.16015193,0,0,0,
100288,,.456,.38326487,0,0,0,
100289,.072,.0014244613,.07,0,0,0,
100290,,.40000001,.16860938,2,0,1,
100291,,0,.24409825,0,0,1,
100292,,,,0,0,0,
100293,,,,1,0,1,
100294,,.040401548,.045704391,1,0,0,
100295,,.058399469,.10618394,3,0,0,
100296,,.40000001,.43738064,2,0,0,
100297,,.18302053,.079999998,0,0,0,
100298,.127,.06490209,.6330834,0,0,1,
100299,.117,.175,.96166551,0,1,0,1170
100300,,.36885372,,0,0,0,
100301,.072,.083306856,.14,0,1,0,720
100302,,.37091455,.39103904,0,0,0,
100303,,.15908191,.2073417,0,0,0,
100304,.054,.11,.14,3,1,0,540
100305,.062,.23999999,.12294745,2,1,0,620
100306,,.25155362,.30135936,2,0,0,
100307,,.23403424,,1,0,0,
100308,,.28214818,.43625149,0,0,0,
100309,,.37,.15453389,0,0,0,
100310,.063,.40000001,,0,1,0,630
100311,,.2,.080365717,0,0,0,
100312,,.19302052,.47204548,3,0,1,
100313,,.1196932,.12294837,0,0,0,
100314,,.060331725,,0,0,0,
100315,,.57999998,.31537685,0,0,0,
100316,.067,.486,.29025513,0,1,0,670
100317,,.40000001,.4223077,2,0,1,
100318,,.22909096,.11,0,0,0,
100319,.047,.055696998,,1,0,0,
100320,,.27214816,,0,0,0,
100321,.063,.029999999,.27975553,1,0,0,
100322,,.40000001,,3,0,1,
100323,.078,.075000003,.039999999,1,0,0,
100324,,.091941968,.1,0,0,0,
100325,,,.59468037,0,0,1,
100326,,.0621778,.1627451,0,0,0,
100327,.103,.0053797434,.041112348,0,0,0,
100328,,.07830105,,1,0,0,
100329,,.17,.8880657,0,0,0,
100330,,.17900001,.1738463,0,0,0,
100331,,,.10300232,0,0,0,
100332,.075,.075000003,.062737852,0,0,0,
100333,,.14443868,.30680215,0,0,0,
100334,,.70327252,.17125374,0,0,0,
100335,.098,.40000001,.22,0,1,0,980
100336,.113,.13084087,.055248171,0,0,0,
100337,.097,.12333779,.16522843,1,1,0,970
100338,,.18302053,,3,0,0,
100339,,.40000001,,0,0,0,
100340,,.25,,3,0,0,
100341,.126,.30000001,.18794595,0,1,0,1260
100342,.117,.36730197,.31030822,0,1,0,1170
100343,.075,.14124045,,0,1,0,750
100344,.103,.069329195,.059999999,0,0,0,
100345,,.18302053,.22,0,0,0,
100346,.125,.28400001,.23369987,0,1,0,1250
100347,,.14195512,.20999999,3,0,0,
100348,.104,.13,,2,1,0,1040
100349,.106,.003,.19700046,0,0,0,
100350,,.40000001,,0,0,0,
100351,,.37512586,.42310315,2,0,1,
100352,.126,.0020000001,.039095569,0,0,1,
100353,,.338,,0,0,0,
100354,,.40000001,,0,0,0,
100355,,.38091454,.72973841,0,0,1,
100356,,,.61712205,0,0,0,
100357,,.1132471,,0,0,0,
100358,.114,.075000003,.1171797,3,0,0,
100359,.079,.13333778,.040382616,1,0,0,
100360,,.40000001,,0,0,1,
100361,,,.22,0,0,1,
100362,,.19,.33257261,0,0,0,
100363,,.14722779,.19928132,0,0,0,
100364,,.082000002,.20999999,3,0,0,
100365,.076,.9024145,,1,1,0,760
100366,,,.4602564,0,0,0,
100367,.119,.02,,0,0,0,
100368,,,.29709837,0,0,0,
100369,.117,.002500206,.21198982,0,0,0,
100370,.091,.075000003,.037062902,0,0,0,
100371,,.13303137,.5,3,0,0,
100372,.058,.13333778,.22744244,0,1,1,-10000
100373,,.23403424,,0,0,0,
100374,.124,.1106606,.049522564,1,0,0,
100375,,.18302053,,0,0,0,
100376,,1,.4223077,0,0,0,
100377,,,.4223077,0,0,0,
100378,,.40000001,.12559749,2,0,0,
100379,,,,0,0,1,
100380,,.14578296,.90122211,0,0,1,
100381,,.34,.76529634,0,0,0,
100382,,0,,2,0,0,
100383,,.32154009,,0,0,1,
100384,.125,.22,.1627451,0,1,0,1250
100385,,.3925522,,0,0,0,
100386,,0,.27360943,2,0,0,
100387,,.27214816,.11,0,0,0,
100388,.085,.40000001,.3565864,0,1,0,850
100389,.079,.050000001,,0,0,0,
100390,.107,0,.15708597,0,0,1,
100391,.104,.02,.59106904,0,0,0,
100392,,.15763983,.11,0,0,0,
100393,,.52469677,.90122211,2,0,0,
100394,.115,.069380894,.39150617,0,0,0,
100395,,.47,.59903169,1,0,1,
100396,,.015,.051527169,1,0,1,
100397,,.33866775,.4780646,3,0,1,
100398,.075,.061972186,.095270127,0,0,1,
100399,,.57999998,,2,0,0,
100400,.127,.058598004,.18648313,0,0,0,
100401,.119,.1490819,.059999999,0,0,0,
100402,,1,,3,0,0,
100403,,1,,0,0,0,
100404,,.53799999,.44851631,1,0,0,
100405,,.2,.27097377,0,0,0,
100406,,.10746522,.40214774,0,0,1,
100407,,,.39246491,0,0,0,
100408,,0,.10703897,0,0,1,
100409,,.28999999,.19353181,0,0,0,
100410,,.40000001,.20999999,0,0,0,
100411,,.32142314,.25542966,0,0,0,
100412,,,.4602564,0,0,0,
100413,.117,.090000004,.10346099,1,0,0,
100414,.119,.6102978,.37007338,2,1,0,1190
100415,,.16511461,.21892418,0,0,0,
100416,,.090999998,.1655914,0,0,0,
100417,.127,.064652778,.99002773,3,0,0,
100418,,.2,.20070691,3,0,0,
100419,,.036733817,.27093491,0,0,0,
100420,,.15908191,,3,0,0,
100421,,.035280943,,0,0,0,
100422,,.62,,0,0,0,
100423,,.36391965,.29025513,0,0,1,
100424,,,.70923686,0,0,0,
100425,,.30000001,.10845129,3,0,0,
100426,,.2,.1168151,0,0,0,
100427,,.18000001,.23331584,0,0,0,
100428,,.32699999,.33257261,0,0,0,
100429,,.21351427,.49795201,0,0,0,
100430,.101,.02,.02,0,0,0,
100431,,.15908191,.22,1,0,0,
100432,.122,.21351427,.71450645,1,1,0,1220
100433,.09,.23403424,,0,1,0,900
100434,.123,.23951645,,2,1,0,1230
100435,.068,.23813355,.50147241,0,1,0,680
100436,,.40817812,,1,0,0,
100437,,,.43185109,0,0,0,
100438,,.31,,0,0,1,
100439,.048,.13333778,.029999999,0,0,0,
100440,,.54500002,,0,0,0,
100441,.113,.19,.14381899,0,1,0,1130
100442,,.40000001,.20566818,0,0,0,
100443,.099,.075000003,.02,0,0,0,
100444,,.40000001,,0,0,0,
100445,,.40799999,.41,3,0,0,
100446,.123,.28214818,.33208025,0,1,0,1230
100447,,.074749596,.33890581,0,0,0,
100448,,.91967231,.42381719,3,0,0,
100449,,.092845485,.1171797,0,0,0,
100450,.121,.072999999,.070372023,0,0,0,
100451,,.31197098,.20653698,3,0,1,
100452,,1,.4223077,0,0,0,
100453,,.33155861,.41095361,1,0,1,
100454,.112,.40000001,.26093143,0,1,0,1120
100455,.093,.093306854,,0,1,0,930
100456,,.27214816,.3388904,0,0,0,
100457,.08,.699,.4223077,0,1,0,800
100458,.121,.075000003,.068337865,0,0,0,
100459,,1,.44422475,0,0,0,
100460,,.56999999,,3,0,1,
100461,,,.44422475,0,0,0,
100462,,,.19596225,0,0,1,
100463,,.37,,0,0,0,
100464,.1,.40000001,.1910124,2,1,0,1000
100465,,.3117989,,1,0,0,
100466,.092,.21799999,.07,0,0,0,
100467,,.1067099,.29815844,0,0,0,
100468,,.38999999,.72278786,0,0,1,
100469,,.34,.22,3,0,0,
100470,,.22403423,.43945932,0,0,0,
100471,,.38999999,.39885673,3,0,0,
100472,,.40000001,.11572364,0,0,0,
100473,,.20299999,.87934846,0,0,1,
100474,.107,.23,.15892498,3,1,0,1070
100475,.06,.40000001,.13744147,1,1,0,600
100476,.107,.39595148,.39768544,1,1,0,1070
100477,,.34783426,,0,0,0,
100478,,.06485337,,2,0,0,
100479,,.075000003,.02,3,0,0,
100480,,.12316077,.12916666,3,0,0,
100481,.047,.02,.054476153,0,0,0,
100482,,.18302053,.17273842,0,0,0,
100483,,.37091455,,0,0,0,
100484,,.40000001,.29025513,1,0,1,
100485,,.32352331,.24600869,0,0,0,
100486,,.61299998,,0,0,0,
100487,,,,3,0,1,
100488,,1,,0,0,0,
100489,,.40000001,.25333804,2,0,0,
100490,,,,2,0,1,
100491,,.27214816,.092084207,0,0,0,
100492,.116,.080092475,.02,0,0,0,
100493,,,.30326223,2,0,1,
100494,,.22403423,.3720549,0,0,1,
100495,,.40000001,.31031662,0,0,1,
100496,,.017969016,.062737852,0,0,0,
100497,,.27000001,.43167359,0,0,0,
100498,.096,.029999999,.048491199,0,0,0,
100499,.084,.1490819,.1627451,0,1,0,840
100500,,.23,,2,0,1,
100501,,.046956789,,3,0,0,
100502,,.18000001,.16983902,0,0,1,
100503,,.77221841,,0,0,0,
100504,,.083999999,.30720857,3,0,0,
100505,,.45788702,.12683563,0,0,0,
100506,.103,4.7671400e-09,.062737852,0,0,0,
100507,,.36489958,,0,0,0,
100508,,1,.4602564,3,0,0,
100509,.126,.23168206,.14381899,0,1,0,1260
100510,,,,3,0,0,
100511,.114,.22403423,,0,1,1,-10000
100512,.115,.40000001,,3,1,0,1150
100513,,.041999999,.085172914,0,0,0,
100514,,.041999999,.32972747,0,0,1,
100515,,,.6330834,0,0,1,
100516,.12,.049939305,.16784118,0,0,0,
100517,.096,.050000001,.085808121,0,0,0,
100518,,.40000001,.33257261,0,0,0,
100519,,.40464985,.53704029,0,0,0,
100520,.053,.075000003,,0,1,0,530
100521,,.11707627,,0,0,0,
100522,,.22,.25025523,0,0,0,
100523,,,.44422475,0,0,0,
100524,,.23,,0,0,0,
100525,.113,.17121153,.18000001,0,1,0,1130
100526,,.19302052,.22,0,0,0,
100527,,.026423048,.20534837,0,0,0,
100528,,.041999999,,0,0,0,
100529,,.22299345,.1902028,0,0,0,
100530,,.40000001,.31407285,0,0,0,
100531,,.40000001,,0,0,0,
100532,.049,.043000001,.43210953,0,0,0,
100533,.12,.004878039,.02,0,0,0,
100534,.123,.34,,0,1,0,1230
100535,,.38091454,,0,0,0,
100536,,.40000001,.36068901,2,0,0,
100537,,.28,,0,0,0,
100538,.081,.02,.16835728,0,0,0,
100539,,.1490819,.71321851,1,0,0,
100540,,.25999999,.20181069,3,0,0,
100541,,.65029067,.46315086,2,0,1,
100542,.088,.042932849,.054369289,0,0,0,
100543,,.40000001,.4223077,1,0,0,
100544,,.20100001,.21879993,0,0,0,
100545,.128,.34999999,,0,1,1,-10000
100546,,0,.29025513,0,0,0,
100547,,.25004026,,0,0,0,
100548,,,.16416407,0,0,0,
100549,.073,.11,.1400477,0,1,0,730
100550,.099,.099802911,.54815215,0,1,0,990
100551,,,,0,0,0,
100552,,.77999997,,0,0,1,
100553,,.13442004,,1,0,0,
100554,.067,.086067818,.1260923,0,1,0,670
100555,.103,.25999999,.26139036,2,1,1,-10000
100556,,.17362444,.20999999,0,0,0,
100557,,.077196635,.089434922,0,0,0,
100558,,.227,.11,0,0,0,
100559,.125,.075000003,,2,0,0,
100560,,.31225547,,1,0,0,
100561,.091,.40000001,.19383326,0,1,0,910
100562,,1,.44422475,2,0,1,
100563,,1,.074708603,1,0,0,
100564,.1,.075000003,.042434812,0,0,0,
100565,,.21351427,.097166605,1,0,1,
100566,,.28214818,.19920461,0,0,0,
100567,,.38,.26279858,0,0,0,
100568,.084,.2046881,.1910124,0,1,0,840
100569,.113,.50199997,.33448026,1,1,1,-10000
100570,.119,.12051148,,0,1,0,1190
100571,,.76855743,,0,0,1,
100572,,.41407478,.19267493,2,0,0,
100573,,.071288995,.095270127,0,0,0,
100574,,,.26865891,3,0,0,
100575,.102,.18520293,.18538295,0,1,0,1020
100576,,.046778396,,0,0,1,
100577,,.88999999,.44422475,0,0,1,
100578,.117,.24665819,.14381899,0,1,0,1170
100579,,.40000001,.50817496,1,0,0,
100580,.112,.037995607,.1171797,3,0,0,
100581,,.21351427,.13,3,0,0,
100582,,.60782403,.20695785,3,0,0,
100583,,.2210938,.36942703,0,0,0,
100584,.109,.056129415,,3,0,1,
100585,,.52999997,,0,0,1,
100586,,.64898723,,0,0,0,
100587,,.22403423,.66854417,2,0,0,
100588,,.15908191,,0,0,1,
100589,,.69,,2,0,1,
100590,,.40000001,,0,0,0,
100591,.12,.082782738,.11,0,0,0,
100592,.097,.2,.060566477,1,0,0,
100593,,,,3,0,1,
100594,,.25422969,.23820285,0,0,0,
100595,,.61105239,.29025513,0,0,0,
100596,,.40000001,.19711639,0,0,0,
100597,.117,.25768802,.3791236,3,1,0,1170
100598,,.96193111,.50571895,1,0,0,
100599,,.27214816,.6330834,0,0,0,
100600,,0,.41844529,2,0,0,
100601,.079,.041576631,.050202813,0,0,0,
100602,,.22403423,.24973156,0,0,0,
100603,,.28214818,.19986074,0,0,1,
100604,,.30579346,,0,0,0,
100605,,.089420497,.6330834,2,0,0,
100606,,1,.37102926,0,0,0,
100607,,.15847181,,0,0,0,
100608,.089,.029704301,,0,0,0,
100609,.127,.38091454,.32677487,0,1,0,1270
100610,,.37400001,.53327817,0,0,0,
100611,,.30641165,.40334284,0,0,0,
100612,.123,.12396958,.21354696,3,1,1,-10000
100613,,.90287942,,0,0,0,
100614,,.15000001,.070179835,0,0,0,
100615,,.10488028,,0,0,0,
100616,,.15908191,.1910124,0,0,0,
100617,,.02,.02,0,0,0,
100618,,0,,0,0,1,
100619,,.29133424,.31031242,0,0,0,
100620,,.1490819,.20593515,0,0,0,
100621,,.38314441,,0,0,1,
100622,,.051339492,,0,0,0,
100623,,,.39809328,1,0,0,
100624,,.15908191,.31476718,0,0,1,
100625,.075,.2,.17,0,1,0,750
100626,,.88,.44422475,0,0,0,
100627,,.36707988,.46446285,1,0,1,
100628,,.23,.28476489,0,0,0,
100629,,.76411492,,0,0,1,
100630,,.10591468,.26259768,1,0,1,
100631,,.15899999,.22477236,1,0,0,
100632,.117,.15908191,.31030279,0,1,0,1170
100633,,.509,,0,0,1,
100634,,.075000003,.32187408,2,0,0,
100635,,,.48674566,0,0,1,
100636,,.38091454,.050949983,0,0,0,
100637,,.11724936,.20918368,1,0,0,
100638,.048,.029999999,.04138286,0,0,0,
100639,,.52469677,,0,0,0,
100640,.116,.075000003,.062737852,0,0,0,
100641,.124,.055467475,.095270127,2,0,0,
100642,.109,.1490819,,0,1,0,1090
100643,,.22403423,,0,0,0,
100644,.077,.032987069,.20488597,0,0,0,
100645,.079,.13333778,.12650783,0,1,0,790
100646,.09,.075000003,.042258091,0,0,0,
100647,.094,0,.19983073,0,0,0,
100648,.066,.40000001,.18000001,0,1,0,660
100649,.116,.096040547,.059999999,1,0,0,
100650,.114,.25,.30170304,3,1,0,1140
100651,,,,3,0,0,
100652,,.1490819,.059999999,0,0,0,
100653,,.40000001,,0,0,0,
100654,,.10303068,,0,0,0,
100655,.095,.40000001,.25410125,0,1,0,950
100656,.124,.012,.059999999,0,0,0,
100657,,.78746355,.4223077,0,0,0,
100658,,.44712752,,0,0,0,
100659,,.39300001,.20083337,0,0,1,
100660,,.5,.11795963,0,0,0,
100661,,.40000001,.12881409,0,0,0,
100662,,.48912945,.51244962,1,0,0,
100663,.113,.22351426,.11,1,0,0,
100664,,.33234078,.47766572,0,0,0,
100665,.105,.053447705,.059999999,0,0,0,
100666,,.076142907,,0,0,0,
100667,,.40000001,.19920461,0,0,0,
100668,,.40000001,.26487002,3,0,0,
100669,,.10345682,.31872246,0,0,1,
100670,.108,.23403424,,2,1,0,1080
100671,,.057309452,.26132616,2,0,1,
100672,,.19,.093999535,0,0,0,
100673,,.40000001,.19578536,0,0,1,
100674,,,.29025513,2,0,0,
100675,,.11511852,.50643796,1,0,0,
100676,,.073054843,,1,0,1,
100677,,.10780082,.21705179,0,0,1,
100678,.051,.075000003,.095270127,0,1,0,510
100679,,.40000001,.36168286,0,0,1,
100680,,.57371336,.30943397,0,0,1,
100681,,.23403424,,0,0,0,
100682,,.31547362,,0,0,0,
100683,,.20200001,.17372601,0,0,0,
100684,,.29768124,.28089502,0,0,0,
100685,,.088699423,.80724174,1,0,0,
100686,.085,.080796264,,0,0,0,
100687,,.5971657,.22,0,0,0,
100688,,.23999999,.4223077,0,0,1,
100689,,.40000001,.24465649,0,0,0,
100690,,.17,.22527207,0,0,0,
100691,.103,.40000001,.15105048,0,1,1,-10000
100692,,.35054421,.1825536,0,0,0,
100693,,.40000001,.15695895,2,0,0,
100694,,.373,,1,0,0,
100695,.112,.317,.18654458,0,1,0,1120
100696,.067,.093306854,.29025513,0,1,0,670
100697,,0,,2,0,1,
100698,,.40000001,.17228428,3,0,0,
