id,sex,employment,marital,income,social3
100129,0,unemployed,1,14337,.59693897
100130,1,employed,1,14674,.76981586
100131,0,unemployed,1,0,.94096935
100132,1,student,0,7625,0
100133,1,employed,1,27424,0
100134,0,employed,0,6634,.60319555
100135,1,employed,1,12745,.75797045
100136,1,unemployed,1,45956,.14910519
100137,1,employed,1,78372,.47832087
100138,0,retired,1,6859,0
100139,1,employed,0,47300,.22909506
100140,0,employed,0,25458,.024776852
100141,1,student,1,0,.92817241
100142,1,employed,1,6198,0
100143,0,employed,1,19132,.074785262
100144,1,employed,1,10880,.65195745
100145,0,student,1,0,.083941698
100146,1,employed,1,10110,.5602572
100147,1,employed,1,8633,.26159742
100148,1,employed,1,9402,0
100149,1,retired,1,10499,0
100150,0,employed,1,9080,.65257257
100151,1,employed,1,5693,.59677202
100152,1,student,0,0,.84244227
100153,0,unemployed,1,22370,0
100154,1,employed,1,7582,.082995526
100155,1,employed,0,20816,.72189564
100156,1,student,0,0,.99202144
100157,1,employed,1,6975,.86527222
100158,1,unemployed,1,36602,.50455487
100159,1,employed,1,11457,.56300533
100160,1,employed,0,6716,.70505494
100161,1,employed,1,9424,.71829236
100162,1,employed,1,11658,.84762126
100163,1,employed,0,8877,.16972195
100164,1,employed,1,17452,.30481207
100165,1,employed,1,1000000,0
100166,0,employed,1,8162,0
100167,1,employed,0,8404,.26577234
100168,1,employed,1,41261,0
100169,1,employed,1,9044,.75185639
100170,0,retired,1,5716,0
100171,0,unemployed,1,6682,.52389371
100172,1,employed,1,6667,0
100173,1,student,0,7709,.063132674
100174,1,employed,1,7394,0
100175,1,employed,1,45317,.021275649
100176,0,student,0,0,.8862955
100177,0,unemployed,0,7450,.016287699
100178,1,unemployed,0,0,.58723187
100179,1,student,0,0,.87700051
100180,1,employed,0,15371,.52645797
100181,0,employed,1,15395,.5180437
100182,1,unemployed,0,0,.54436719
100183,1,employed,0,18085,.8760131
100184,1,retired,1,29013,0
100185,1,employed,1,9797,0
100186,0,employed,1,15347,.68307877
100187,1,employed,0,27497,.00654754
100188,1,employed,1,20747,.90594238
100189,1,employed,0,13902,.60053653
100190,1,employed,1,21009,.58131748
100191,0,unemployed,0,74051,.59907442
100192,1,employed,0,7093,.63898838
100193,1,employed,1,17232,.60378867
100194,1,employed,0,8509,0
100195,1,employed,1,13245,.53265238
100196,1,employed,1,9980,.83239251
100197,0,employed,0,21077,.33984885
100198,1,employed,0,10528,.26825795
100199,0,unemployed,0,0,.80264181
100200,1,employed,0,5467,0
100201,1,employed,1,10062,0
100202,1,student,0,3598,0
100203,1,student,0,0,.45644918
100204,1,employed,0,34612,0
100205,1,employed,1,8865,.025850682
100206,0,employed,1,73553,0
100207,1,student,0,10642,.9837755
100208,1,retired,0,3613,.026238155
100209,1,student,0,2646,.94051838
100210,1,employed,0,19005,.05484705
100211,1,unemployed,0,14321,.67966646
100212,1,student,0,0,.91047037
100213,0,student,0,0,0
100214,0,employed,1,13732,.87831336
100215,0,employed,0,13058,.27046016
100216,1,employed,0,22018,0
100217,0,retired,0,3667,0
100218,1,employed,0,38401,.23272882
100219,1,employed,0,21900,.52923548
100220,1,employed,1,7045,0
100221,0,retired,0,4294,0
100222,1,employed,0,13057,0
100223,1,employed,0,23997,.94655991
100224,1,employed,1,7117,.64769578
100225,1,student,0,5431,.7684021
100226,1,employed,1,12236,.51787674
100227,1,employed,1,8457,.85481161
100228,1,student,0,0,.14766809
100229,1,employed,1,57407,.66442257
100230,1,employed,1,17733,.59251624
100231,1,employed,0,33548,.98121524
100232,1,employed,1,5664,.51922935
100233,0,employed,1,47492,.098702781
100234,0,retired,1,34059,0
100235,1,employed,1,12781,.34874752
100236,1,employed,1,8134,.21852694
100237,1,student,0,0,.84155196
100238,1,retired,0,6229,0
100239,1,retired,1,6060,.16157709
100240,0,employed,1,5707,.6869753
100241,1,employed,1,18307,.5658657
100242,1,employed,1,11115,.72339129
100243,1,employed,0,18671,.046225797
100244,0,employed,1,8706,.80676526
100245,1,employed,1,10344,.78958511
100246,1,retired,0,5454,.23096076
100247,1,employed,0,10754,0
100248,1,employed,1,11258,.61513442
100249,1,employed,1,8567,.82088739
100250,0,employed,1,328019,.55473661
100251,1,unemployed,0,0,0
100252,1,employed,1,55206,.56030661
100253,0,employed,0,5703,.52119082
100254,1,employed,1,10011,0
100255,1,student,0,0,.89288944
100256,0,employed,1,4950,.15404382
100257,1,employed,1,11900,.69658524
100258,1,employed,1,10646,.59990692
100259,0,employed,0,80323,.50853139
100260,1,retired,1,5246,.31132942
100261,1,student,0,0,.35109061
100262,1,employed,1,23940,.18934724
100263,0,retired,0,816,0
100264,0,employed,0,11340,.59021527
100265,1,employed,0,12543,.34180492
100266,0,unemployed,1,0,.55261743
100267,0,employed,0,9577,.52431083
100268,1,employed,1,17442,0
100269,1,retired,0,9247,.083686933
100270,1,employed,1,6286,.35248214
100271,1,employed,1,7673,0
100272,0,employed,0,10743,.73067039
100273,1,unemployed,1,6567,.77788973
100274,0,employed,1,29082,0
100275,1,employed,0,13016,.76917434
100276,0,unemployed,1,8099,.60071474
100277,1,retired,1,3852,0
100278,1,employed,1,5255,.77410167
100279,0,unemployed,1,0,.025259534
100280,1,unemployed,0,8505,0
100281,1,employed,0,8286,.58159238
100282,0,employed,1,7807,.0082015349
100283,0,student,0,106090,0
100284,1,student,0,0,.95924282
100285,1,employed,1,26586,.58000785
100286,1,employed,0,9016,.56118542
100287,1,employed,1,7180,0
100288,1,employed,1,6770,0
100289,1,student,0,17592,.395684
100290,0,employed,1,7995,0
100291,0,employed,1,5627,.85761565
100292,1,student,0,0,0
100293,0,retired,1,2126,.21284521
100294,0,employed,1,28187,0
100295,0,retired,0,22361,.24448602
100296,1,employed,0,6603,.69613183
100297,1,retired,0,18529,.28443596
100298,1,unemployed,1,6760,.28694752
100299,1,employed,1,15058,.72109288
100300,0,employed,1,6738,.69354236
100301,1,student,0,7933,.62394547
100302,0,employed,1,8071,.084691569
100303,1,employed,1,10512,.46678928
100304,1,student,1,6987,.9610641
100305,1,student,0,9218,.8045122
100306,1,employed,1,7450,.45533782
100307,1,retired,1,14724,.051940233
100308,1,retired,0,11302,0
100309,1,student,0,0,.21873395
100310,1,student,0,6254,.88404363
100311,1,employed,1,22986,.19787228
100312,0,employed,1,5826,.104043
100313,1,employed,1,15784,.43329355
100314,1,employed,0,7101,.56031513
100315,0,employed,1,4705,.7891255
100316,0,student,0,6229,.81245339
100317,0,employed,0,6048,.52801663
100318,1,employed,0,17207,0
100319,1,student,0,34501,.85929066
100320,1,employed,1,9448,0
100321,0,student,1,19462,.48692417
100322,1,employed,1,8331,.077007443
100323,1,employed,1,222016,.61974639
100324,1,retired,1,11338,.24259162
100325,1,employed,1,6496,0
100326,0,employed,1,16603,.44971493
100327,1,employed,1,161394,.28130481
100328,1,employed,1,14268,.28759831
100329,1,employed,1,13890,.53536475
100330,1,employed,1,14830,.22578265
100331,0,student,0,0,.22816467
100332,0,employed,1,118676,.89194244
100333,1,employed,1,27891,.25218776
100334,1,employed,1,6149,.070472777
100335,1,unemployed,1,8554,.63871324
100336,1,employed,1,30628,.58863479
100337,1,employed,1,71815,.59155428
100338,1,employed,1,7279,.5899176
100339,1,employed,1,6220,.43903679
100340,1,employed,0,11319,.49636298
100341,1,employed,1,16289,.58334178
100342,1,employed,1,15037,.7277118
100343,1,student,0,12863,.43698162
100344,1,employed,1,27886,.76004189
100345,1,employed,1,7993,.63400638
100346,1,employed,1,10855,.70585102
100347,1,employed,0,16487,.56557304
100348,1,unemployed,1,28597,.20848538
100349,1,employed,1,50458,.55556911
100350,0,employed,0,9776,0
100351,1,student,0,0,.84777617
100352,0,employed,0,55070,.39288166
100353,1,employed,0,9360,.033416376
100354,1,employed,0,8523,0
100355,0,employed,0,12648,.39018631
100356,1,unemployed,1,0,.85602891
100357,1,employed,1,11861,0
100358,1,employed,1,37887,.51452714
100359,1,employed,1,112740,.79722714
100360,1,employed,1,13439,0
100361,0,employed,1,7023,.28654131
100362,1,retired,1,8919,0
100363,1,employed,0,12643,.57935661
100364,1,employed,0,21570,.39611542
100365,1,student,0,2708,.84512824
100366,1,student,1,0,.95355242
100367,1,employed,1,78176,.25197536
100368,1,student,0,0,.84701663
100369,0,employed,1,64777,.34976166
100370,1,employed,1,49579,.8007679
100371,1,employed,0,9103,.67734832
100372,1,student,0,14401,.78403199
100373,1,employed,1,7151,.013844159
100374,0,employed,1,26343,.50408489
100375,0,employed,1,7388,.55449325
100376,0,unemployed,0,0,.60547423
100377,0,unemployed,1,0,.52301151
100378,1,student,0,0,.77147675
100379,0,unemployed,1,0,.53423667
100380,1,employed,1,5998,.74377137
100381,1,employed,0,5966,.55517524
100382,1,unemployed,0,0,.91592306
100383,0,employed,0,10356,.6815992
100384,1,employed,0,12372,.78939772
100385,0,unemployed,1,0,.74478167
100386,0,retired,1,1431,.13292468
100387,1,employed,0,17671,.27963516
100388,1,unemployed,0,9775,.95137417
100389,1,employed,0,176197,.7888748
100390,1,unemployed,1,6473,.56948239
100391,0,unemployed,0,69719,.1169437
100392,1,employed,1,18606,.16347662
100393,1,retired,0,6000,.321439
100394,0,unemployed,0,8129,.54937005
100395,0,employed,1,4721,.52254027
100396,0,employed,1,36404,0
100397,1,student,0,0,.12635748
100398,1,student,0,30299,.19215836
100399,1,unemployed,0,0,.15371187
100400,1,employed,1,11921,.65383857
100401,1,employed,1,39999,.43360186
100402,1,unemployed,1,0,0
100403,0,student,0,0,.80285376
100404,0,employed,1,5340,.71531868
100405,1,employed,1,11197,.3486954
100406,1,employed,1,11632,.13643707
100407,1,student,0,0,.73300469
100408,1,unemployed,1,0,.53882086
100409,1,employed,0,12255,0
100410,1,employed,1,14064,.057398107
100411,1,employed,0,8125,.68526208
100412,1,student,0,0,.79589796
100413,1,retired,1,24029,.29215395
100414,1,employed,1,8866,.83761996
100415,0,employed,0,10173,.53855056
100416,1,employed,0,20723,0
100417,1,employed,0,15807,.70270711
100418,1,employed,1,26017,0
100419,1,employed,1,12408,.54477745
100420,1,employed,0,12873,.59107542
100421,1,employed,1,29751,.25939435
100422,1,retired,0,4121,.26983291
100423,1,employed,0,5313,.16355905
100424,0,employed,0,6381,.17923883
100425,1,employed,0,17389,0
100426,0,employed,1,16530,.0066609085
100427,1,employed,1,9600,.50146133
100428,1,employed,0,9645,.57317746
100429,1,employed,1,5511,.10063388
100430,1,employed,1,50212,.63117874
100431,1,employed,1,7325,.12313552
100432,1,unemployed,1,10673,.22695948
100433,0,unemployed,0,10474,.86936349
100434,1,employed,1,9892,.75785208
100435,0,student,0,4033,.92607903
100436,0,employed,1,7326,.049994569
100437,1,student,0,0,.91019219
100438,1,employed,1,10869,.28273514
100439,0,student,0,46710,.7689665
100440,1,retired,1,5243,.07844203
100441,1,employed,1,14319,.7943809
100442,1,employed,0,10943,.063440822
100443,1,employed,1,92758,.49848124
100444,1,employed,0,18426,.1633382
100445,0,retired,1,7742,.32933375
100446,1,employed,0,9015,.90446711
100447,1,employed,0,14224,.65074015
100448,1,employed,1,5615,.58640146
100449,0,employed,0,25826,.50730222
100450,1,employed,1,22594,.56206828
100451,0,employed,0,8044,0
100452,0,student,0,0,.86035514
100453,0,student,0,0,.84892124
100454,1,employed,1,9182,.92506903
100455,1,student,0,14147,.077727772
100456,1,employed,0,28473,0
100457,0,student,0,3094,.74733526
100458,1,retired,1,35701,.12842564
100459,1,student,0,0,.98318076
100460,1,unemployed,1,0,.69710803
100461,1,unemployed,1,0,.63856769
100462,0,employed,1,5505,.034786735
100463,0,retired,1,3678,.062919743
100464,1,employed,1,13909,.99634582
100465,1,employed,1,6417,.26769194
100466,0,student,1,13146,0
100467,1,employed,1,11218,.42518705
100468,0,student,0,0,0
100469,0,employed,1,8660,.63898462
100470,1,student,0,0,.84267598
100471,1,student,0,0,.88308877
100472,1,employed,1,7894,0
100473,1,employed,1,13772,.31014207
100474,1,employed,1,14532,.87576556
100475,0,student,0,6480,.98396778
100476,0,unemployed,1,6035,.62011522
100477,1,employed,1,22428,.15808009
100478,1,employed,1,54423,.19239292
100479,1,employed,1,59619,.17050582
100480,1,employed,0,20187,0
100481,0,student,0,35943,.87727976
100482,1,employed,1,7525,.71678722
100483,0,student,0,0,.9298256
100484,0,employed,1,4796,.67054671
100485,1,employed,0,7138,.29801577
100486,1,retired,0,4226,0
100487,1,unemployed,1,0,.20968205
100488,1,unemployed,1,0,.53613824
100489,1,employed,1,12785,0
100490,0,unemployed,0,0,0
100491,1,employed,1,21029,.34360117
100492,1,employed,0,80358,.40250438
100493,1,student,0,0,.80079705
100494,1,student,1,0,.77007216
100495,1,employed,1,10136,.11503836
100496,1,employed,0,43575,0
100497,1,employed,1,8359,0
100498,1,employed,1,53400,.6959874
100499,0,unemployed,1,11938,.81622475
100500,1,employed,0,8727,.55096066
100501,1,employed,1,15789,0
100502,1,employed,1,15538,0
100503,1,employed,1,6601,0
100504,1,employed,1,21328,.44428518
100505,1,retired,1,4831,.22803362
100506,1,employed,1,209636,.20633726
100507,1,retired,1,4832,.24114871
100508,1,student,0,0,.83415312
100509,1,employed,1,14256,.62354082
100510,0,student,0,0,.60872871
100511,1,employed,1,38442,.50370127
100512,0,employed,1,8110,.95014375
100513,1,employed,1,27318,.29991022
100514,1,employed,0,27403,0
100515,0,employed,1,4216,0
100516,1,employed,1,170090,.019191416
100517,1,employed,0,54124,.81268865
100518,0,employed,1,7490,0
100519,1,employed,1,10724,.59626991
100520,1,student,0,83185,.43884295
100521,1,employed,1,15566,0
100522,0,employed,0,19907,.16312014
100523,1,student,0,0,.79632461
100524,0,employed,1,17797,.23727451
100525,0,employed,1,17141,.76433438
100526,1,employed,1,7271,.48174948
100527,1,employed,0,36200,.19000927
100528,1,employed,0,27387,.0055224067
100529,1,employed,1,9858,.64860076
100530,1,employed,0,8295,0
100531,0,employed,0,10221,.15857884
100532,1,student,0,27161,.84832025
100533,1,employed,1,57870,.31817499
100534,1,employed,0,11156,.85110766
100535,1,employed,0,7132,.050128631
100536,0,employed,1,6594,.71293116
100537,1,employed,1,10971,.58126426
100538,1,employed,1,140672,.70264745
100539,0,employed,1,5090,0
100540,1,employed,1,10082,.60253692
100541,1,unemployed,1,0,0
100542,1,employed,1,47819,.86650133
100543,1,retired,1,4320,0
100544,1,employed,1,13841,.46072158
100545,0,employed,1,8786,.75026751
100546,1,employed,0,5479,0
100547,1,employed,1,9203,.077370301
100548,1,employed,1,7323,.21211854
100549,1,student,0,12662,.46939942
100550,0,unemployed,1,11472,.5688718
100551,1,employed,1,8334,.48853996
100552,0,unemployed,1,0,.5109424
100553,1,retired,0,5667,.16136912
100554,1,student,0,17553,.52537155
100555,0,unemployed,1,8168,.59901184
100556,1,employed,1,13709,.017503221
100557,1,employed,0,25385,.050171319
100558,1,employed,0,12784,.58488369
100559,1,retired,0,29290,.25747299
100560,1,employed,1,7794,.25628966
100561,1,unemployed,1,8612,.74347341
100562,1,student,0,0,.73504543
100563,1,student,0,0,.22470087
100564,1,employed,1,169095,.31618696
100565,1,employed,1,17939,0
100566,1,employed,1,11375,.24102145
100567,1,retired,1,8349,.17615442
100568,1,unemployed,1,13534,.74584508
100569,0,unemployed,0,5943,.66372049
100570,1,employed,0,33163,.60654694
100571,1,unemployed,1,0,.2144354
100572,1,employed,1,6734,.76874471
100573,0,employed,0,38739,0
100574,1,student,0,0,.84841907
100575,1,employed,1,16473,.92511117
100576,0,employed,1,9917,.13352312
100577,1,student,0,0,.86005241
100578,1,employed,0,14030,.87589973
100579,1,employed,1,7424,.62267679
100580,1,employed,1,26421,.64809698
100581,0,employed,1,11117,.075893253
100582,1,employed,1,6804,.57779855
100583,0,retired,1,11034,.19591728
100584,1,employed,1,15757,.83450508
100585,1,employed,1,5472,0
100586,1,employed,0,6082,.54574615
100587,1,student,0,0,.86887658
100588,1,employed,1,9543,.52728128
100589,1,retired,0,658,.08898557
100590,0,retired,0,4474,0
100591,1,employed,1,18225,.62752694
100592,1,employed,1,26706,.8746568
100593,0,student,0,0,.76348656
100594,1,employed,0,8415,.015861999
100595,1,employed,1,6926,0
100596,1,retired,1,11073,0
100597,1,employed,1,9264,.86346287
100598,0,employed,0,7809,.80301976
100599,1,student,0,0,.93270493
100600,1,student,0,0,.96941411
100601,1,unemployed,1,24876,.68683499
100602,1,student,1,0,.032961663
100603,1,employed,1,7391,0
100604,1,student,0,0,.85892588
100605,0,employed,1,4669,0
100606,0,unemployed,1,0,.71523941
100607,0,employed,0,11839,.68173677
100608,1,employed,1,161067,.51639682
100609,1,employed,0,8075,.88803452
100610,1,employed,0,8487,.48796839
100611,1,student,0,0,.25680214
100612,1,employed,1,8964,.78910512
100613,0,employed,1,4586,.24024887
100614,1,employed,1,27295,.21998283
100615,1,employed,1,7879,.094108932
100616,1,unemployed,0,13358,0
100617,1,employed,1,70687,0
100618,0,unemployed,0,0,.42218727
100619,1,employed,1,12337,.52093899
100620,1,employed,1,8951,0
100621,1,employed,1,10505,.593162
100622,0,employed,0,42942,0
100623,1,student,0,0,.92282909
100624,0,employed,0,28936,.02451247
100625,1,unemployed,1,20400,.82255363
100626,0,student,0,0,.72081822
100627,1,student,0,0,.85000783
100628,1,unemployed,0,16581,.11676329
100629,1,employed,1,6595,.60175729
100630,0,employed,1,8898,.18375504
100631,1,employed,0,15877,.15811212
100632,1,employed,1,19395,.65648681
100633,1,unemployed,1,5824,.073026597
100634,0,employed,1,92315,0
100635,1,student,0,0,.5340485
100636,0,employed,0,20839,0
100637,1,employed,1,5267,0
100638,1,student,0,39584,.76998007
100639,1,retired,0,5998,0
100640,0,employed,1,79248,.3127186
100641,1,employed,1,26606,.47656018
100642,1,employed,1,13455,.87127608
100643,1,student,0,0,.91359007
100644,1,employed,1,160121,.7385239
100645,1,unemployed,1,33743,.58995152
100646,1,employed,0,549501,.2814824
100647,1,employed,0,87754,.71832669
100648,0,student,0,4894,.91720259
100649,1,employed,1,30610,.53918761
100650,1,employed,1,9626,.89499784
100651,1,student,0,0,.84767991
100652,1,employed,1,30619,0
100653,1,employed,1,8981,0
100654,1,employed,1,24974,0
100655,1,unemployed,1,5800,.79327494
100656,1,employed,0,38131,.50302976
100657,1,retired,1,4695,.2240084
100658,1,retired,0,5078,.13347378
100659,1,employed,0,8063,.82444471
100660,0,retired,0,1987,0
100661,1,employed,1,6629,.7055251
100662,0,unemployed,1,0,.64428049
100663,1,employed,1,11472,.85040599
100664,0,employed,1,5146,.52177161
100665,1,employed,0,30058,.83472133
100666,1,employed,0,14584,0
100667,1,employed,0,12238,.64747977
100668,0,employed,1,10530,.61066133
100669,0,employed,1,7199,.78977001
100670,0,unemployed,1,17609,.3031902
100671,1,employed,1,9968,.10630621
100672,1,employed,0,21880,.24139816
100673,1,employed,1,5444,.7035259
100674,0,employed,1,4947,.61491853
100675,1,retired,0,3980,.26743597
100676,1,employed,0,66542,.044013884
100677,1,retired,1,7149,.34230262
100678,1,student,0,20779,.87245774
100679,1,employed,0,12021,.50393254
100680,0,unemployed,0,0,.58166391
100681,0,student,0,0,.34890455
100682,1,employed,1,9262,.64142656
100683,0,employed,1,13815,.57206249
100684,0,retired,1,6172,.014923471
100685,1,employed,0,9652,.012487826
100686,0,employed,1,59799,.88395452
100687,1,employed,1,8963,.63292271
100688,1,employed,1,5726,0
100689,1,employed,1,9399,.5199905
100690,1,retired,1,11523,.0075061107
100691,0,student,0,3775,.28984112
100692,1,employed,1,8524,.44457436
100693,1,employed,1,13469,.41160688
100694,1,employed,0,8514,.7468636
100695,1,employed,1,9906,.91557604
100696,1,student,0,4362,.89787483
100697,0,retired,1,3482,0
100698,1,employed,1,8037,.60187972
100699,0,employed,1,12634,.38815331
100700,0,unemployed,1,8701,.85279185
100701,1,employed,0,7832,.56658787
100702,1,unemployed,1,0,0
100703,0,employed,0,19130,0
100704,1,retired,1,4609,0
100705,0,employed,1,9183,.76139545
100706,0,retired,1,7005,.2380311
100707,1,employed,1,30393,0
100708,1,employed,1,8009,.67957181
100709,1,employed,0,19961,.70647752
100710,1,retired,1,2848,0
100711,0,unemployed,1,0,.59679252
100712,1,student,0,4712,.92176974
100713,1,employed,1,14772,.53000945
100714,1,employed,1,14471,0
100715,1,student,0,0,.75359273
100716,0,retired,0,7573,.2012969
100717,1,retired,1,5344,0
100718,1,retired,1,3866,.19043797
100719,0,unemployed,0,18852,0
100720,1,unemployed,0,0,0
100721,1,employed,0,5646,.58695596
100722,0,employed,0,8500,.26162317
100723,1,employed,1,13934,.70944655
100724,0,employed,1,6543,.53855163
100725,1,unemployed,0,7419,.4149065
100726,1,retired,1,3786,.24514183
100727,1,student,0,0,.22970289
100728,0,student,0,0,.86779535
100729,1,employed,1,30534,.072134793
100730,0,unemployed,1,19992,.72120178
100731,1,employed,1,51050,0
100732,0,employed,1,5930,.95802873
100733,1,employed,1,7559,.78332591
100734,1,retired,0,11193,0
100735,0,unemployed,1,28809,0
100736,1,student,0,0,.94032234
100737,1,student,1,0,.9219414
100738,1,employed,1,8041,.50219226
100739,1,employed,1,11788,.638551
100740,1,student,0,3397,.96908164
100741,1,employed,1,19553,.61243677
100742,1,student,0,0,.46758255
100743,1,retired,0,6899,.16284043
100744,0,employed,1,7477,.61914837
100745,0,employed,1,9161,0
100746,0,employed,0,7985,.55979824
100747,1,employed,1,74195,.5308615
100748,0,unemployed,1,0,0
100749,1,employed,1,6539,0
100750,0,retired,1,4943,.25841513
100751,1,employed,1,9623,.72620833
100752,1,student,0,26018,.89877743
100753,0,employed,1,6081,.37640184
100754,1,employed,1,6705,.59187526
100755,1,employed,1,21221,.6031552
100756,1,employed,1,33755,0
100757,0,employed,0,10033,0
100758,0,employed,0,9090,.53041166
100759,1,unemployed,0,0,.54024756
100760,1,employed,0,5635,.72635502
100761,1,employed,1,10872,.28614646
100762,1,retired,0,6810,.25167987
100763,1,student,0,0,.098018281
100764,0,student,0,0,.9670279
100765,1,employed,1,29529,0
100766,1,employed,1,10918,0
100767,1,student,0,68284,.90714318
100768,0,employed,1,41225,.64323062
100769,1,employed,1,26869,0
100770,1,employed,1,8133,.56195861
100771,0,student,0,0,.060193982
100772,1,employed,1,73625,.66129065
100773,1,student,0,0,.92054302
100774,1,student,0,0,.83470368
100775,1,employed,1,9942,.87053674
100776,0,unemployed,1,0,0
100777,1,employed,1,7687,.44919533
100778,1,employed,1,9345,.61541617
100779,1,employed,1,20472,.6413191
100780,1,retired,1,5150,0
100781,1,employed,1,9290,0
100782,1,employed,1,16886,.061960727
100783,1,unemployed,1,0,.55481541
100784,0,student,0,18654,.59807014
100785,1,student,0,0,.82335705
100786,1,employed,1,17315,.63099414
100787,0,student,0,0,.86139077
100788,0,employed,1,16014,0
100789,1,employed,1,40966,.73046285
100790,1,employed,0,7285,.11686818
100791,1,unemployed,0,0,.30982777
100792,1,employed,1,13196,.81115949
100793,0,employed,1,11897,.64120924
100794,1,retired,1,4650,.3310163
100795,1,employed,1,20619,.43043429
100796,1,employed,1,5855,.83832031
100797,1,employed,1,14861,.24079798
100798,1,employed,1,12208,0
100799,1,student,0,0,.86772615
100800,1,student,0,0,0
100801,1,employed,1,15413,.39600438
100802,1,employed,1,6034,.60920048
100803,0,employed,1,36964,.11057129
100804,1,unemployed,1,0,0
100805,1,unemployed,1,0,0
100806,1,student,0,1675,.70678216
100807,1,unemployed,1,0,.28277192
100808,1,employed,1,9453,.7359001
